OT;NV/GOM;DIRECCION;CONTRATISTA;COMUNA;ZONAL;ITO;FECHA_INSPECCION;TIPO_TRABAJO;SUPERVISOR;HAY HALLAZGO;INCIDENCIA;NOMBRE DE INCIDENCIA;TIPO;HALLAZGO;OBSERVACION;TOTAL_HALLAZGO;MES;AÑO;TIPO_OBRA
2828888;NV;BRIONES LUCO N° 236;INGEVEC;LA CISTERNA;FLORIDA;JAIME SOTO;2021-10-25;SUBTERRÁNEA;NICOLAS URRUTIA;NO;;;;REMATES EN CUELLO DE CÁMARA.;;0;OCTUBRE;2021;OO.CC
2828888;NV;BRIONES LUCO N° 236;INGEVEC;LA CISTERNA;FLORIDA;JAIME SOTO;2021-10-25;SUBTERRÁNEA;NICOLAS URRUTIA;NO;;;;REPARACIÓN DE TAPA DE CÁMARA;;0;OCTUBRE;2021;OO.CC
2860003;NV;JOSE URETA 180;BUREAU VERITAS (EMYLEC);LA CISTERNA;FLORIDA;JAIME SOTO;2021-10-26;SUBTERRÁNEA;BRIAN PONCE DE LEÓN;NO;;;;;;0;OCTUBRE;2021;OO.CC
2890117;NV;PALENA 3030;BUREAU VERITAS (EMYLEC);ÑUÑOA;FLORIDA;JAIME SOTO;2021-10-27;SUBTERRÁNEA;DANIEL ALVARADO;NO;;;;;;0;OCTUBRE;2021;OO.CC
2889126;NV;AV OSSA N° 480;ENERPA;LA CISTERNA;FLORIDA;JAIME SOTO;2021-11-03;SUBTERRÁNEA;BRIAN PONCE DE LEÓN;NO;;;;DUCTO DE 140 MM OBSTRUIDO;;0;NOVIEMBRE;2021;OO.CC
2889126;NV;AV OSSA N° 480;ENERPA;LA CISTERNA;FLORIDA;JAIME SOTO;2021-11-03;SUBTERRÁNEA;BRIAN PONCE DE LEÓN;NO;;;;LIMPIEZA DE PISO DE CÁMARA;;0;NOVIEMBRE;2021;OO.CC
2889126;NV;AV OSSA N° 480;ENERPA;LA CISTERNA;FLORIDA;JAIME SOTO;2021-11-03;SUBTERRÁNEA;BRIAN PONCE DE LEÓN;NO;;;;LIMPIEZA SUPERIOR DE LA ZONA DE TRABAJO;;0;NOVIEMBRE;2021;OO.CC
2889126;NV;AV OSSA N° 480;ENERPA;LA CISTERNA;FLORIDA;JAIME SOTO;2021-11-03;SUBTERRÁNEA;BRIAN PONCE DE LEÓN;NO;;;;REPARACIÓN DE SOLERILLA, ITOS DE HORMIGÓN, BALDOSA.;;0;NOVIEMBRE;2021;OO.CC
177132;ID;AV DEPARTAMENTAL 1475;ENERPA;LA FLORIDA;FLORIDA;JAIME SOTO;2021-11-08;SUBTERRÁNEA;CESAR ANDRADE;NO;;;;TERMINACIÓN MARCO DE BÓVEDA;;0;NOVIEMBRE;2021;OO.CC
177132;ID;AV DEPARTAMENTAL 1475;ENERPA;LA FLORIDA;FLORIDA;JAIME SOTO;2021-11-08;SUBTERRÁNEA;CESAR ANDRADE;NO;;;;PENDIENTE INSTALACIÓN DE LOGO EN BÓVEDA;;0;NOVIEMBRE;2021;OO.CC
